device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Huawei 2,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,4.577901759,5.558024257
Huawei 3,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,4.872828107,5.478970866
Huawei 4,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,4.170533701,4.598246271
Huawei 5,Android,15.37,yes,yes,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,4.709440107,5.765661212
Huawei 6,Android,25.5,yes,no,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,5.133088887,5.51877732
Huawei 7,Android,16.71,yes,yes,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,6.153455837,7.244220373
Huawei 8,Android,16.23,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,4.644390899,5.0681492
Huawei 9,Android,25.6,yes,yes,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,5.18245748,6.310336373
Huawei 10,Android,16.23,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,4.322143925,4.95342982
Huawei 11,Android,16.74,yes,no,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,5.065439086,5.672429397
Huawei 12,Android,15.34,yes,no,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,4.931375613,5.634110801
Huawei 13,Android,25.6,yes,no,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,4.997685135,6.107267847
Huawei 14,Android,15.9,yes,no,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,4.99653637,5.294560318
Huawei 15,Android,15.32,yes,no,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,4.537426534,5.306731865
Huawei 16,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,4.705286977,5.010968572
Huawei 17,Android,16.59,yes,yes,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,5.674182005,7.438006989
Huawei 18,Android,16.81,yes,yes,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,5.380450196,6.477264628
Huawei 19,Android,16.81,yes,no,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,5.014826499,6.313729189
Huawei 20,Android,15.9,yes,no,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,5.143474781,5.67029463
Huawei 21,Android,16.74,yes,no,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,4.839293241,5.250281918
Huawei 22,Android,25.6,yes,no,13.0,8.0,64.0,4.0,7500.0,498.0,2019,205,4.936629881,5.704781975
Huawei 23,Android,20.42,yes,no,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,5.294259143,5.856932654
Huawei 24,Android,20.42,yes,no,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,5.001190835,5.556287375
Huawei 25,Android,16.23,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,5.428204627,5.9652489
Huawei 26,Android,16.23,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,5.378560054,5.885520528
Huawei 27,Android,15.34,yes,no,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,5.058853866,5.562948291
Huawei 28,Android,15.34,yes,no,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,5.043683148,5.637785112
Huawei 29,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,4.607467545,5.638105528
Huawei 30,Android,10.16,no,no,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,3.579343567,4.70311326
Huawei 31,Android,17.78,no,no,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,3.982295058,5.016551095
Infinix 0,Android,17.32,yes,no,9.5,8.0,32.0,2.0,6000.0,209.0,2020,245,4.282068168,4.59764192
Infinix 1,Android,15.39,yes,no,9.5,8.0,64.0,4.0,5000.0,185.0,2020,173,4.363608049,4.711779921
Infinix 2,Android,15.39,yes,no,9.5,8.0,32.0,2.0,5000.0,185.0,2020,256,4.181439269,4.505460342
Infinix 3,Android,15.39,yes,no,9.5,16.0,32.0,3.0,4000.0,178.0,2019,316,4.555244377,4.602165677
Infinix 4,Android,15.29,yes,no,9.5,16.0,32.0,2.0,4000.0,165.0,2019,468,4.416669578,4.871296595
Lava 0,Android,14.5,yes,no,9.5,5.0,32.0,2.0,3200.0,150.0,2020,356,3.989909544,4.381026134
Lava 1,Android,12.7,no,no,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,3.495598057,4.113002744
Lenovo 0,Android,25.43,yes,no,8.0,5.0,32.0,3.0,7000.0,520.0,2020,233,4.726768158,5.20136584
Lenovo 1,Android,25.43,no,no,8.0,5.0,64.0,4.0,7000.0,580.0,2019,419,5.214881408,5.775141434
Lenovo 2,Android,15.47,yes,no,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,3.940610462,4.591071262
Lenovo 3,Android,20.32,yes,no,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,4.779375562,5.066133071
Lenovo 4,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,4.463721822,4.938064601
Lenovo 5,Android,17.78,yes,no,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,3.896096855,4.606768907
Lenovo 6,Android,16.23,yes,no,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,4.423648309,5.524974737
Lenovo 7,Android,16.23,yes,yes,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,5.342812606,5.992264227
Lenovo 8,Android,15.32,yes,no,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,4.676839473,5.062468443
Lenovo 9,Android,25.43,yes,no,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,5.056182109,5.191233144
LG 0,Android,16.59,yes,no,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,4.879082894,5.601491318
LG 1,Android,15.44,yes,no,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,4.350148896,5.299466706
LG 2,Others,5.28,yes,no,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,3.875566468,5.015689168
LG 3,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,4.734442522,6.768240306
LG 4,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,5.476463552,6.55079458
LG 5,Android,15.37,yes,no,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,4.636959508,5.481430277
LG 6,Android,14.5,yes,no,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,4.230767603,4.870683334
LG 7,Android,25.43,yes,no,8.0,5.0,32.0,4.0,8200.0,498.0,2019,329,4.709620287,5.82953368
LG 8,Android,15.34,yes,yes,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,5.467680322,7.003174544
LG 9,Android,15.34,yes,no,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,4.696928611,5.766225051
LG 10,Android,13.84,yes,no,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,4.255328982,4.944353031
LG 11,Android,13.84,yes,no,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,4.08933202,4.606369467
LG 12,Android,15.27,yes,no,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,4.64352514,5.082211493
LG 13,Android,15.37,yes,no,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,4.550608398,5.304299438
LG 14,Android,15.8,yes,no,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,4.461877016,5.248023572
LG 15,Android,15.9,yes,no,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,4.582310892,4.864607093
LG 16,Android,15.72,yes,no,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,4.373994463,4.694645192
LG 17,Android,15.29,yes,no,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,4.517649588,5.300415165
LG 18,Android,15.29,yes,no,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,4.887940214,5.704049106
LG 19,Android,12.83,yes,no,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,4.358630057,5.191066176
LG 20,Android,7.62,no,no,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,3.027715319,3.925925911
Meizu 0,Android,15.39,yes,yes,9.5,20.0,128.0,8.0,4500.0,199.0,2020,186,5.167866937,6.272027589
Meizu 1,Android,15.37,yes,no,9.5,16.0,128.0,6.0,4500.0,183.0,2019,449,4.665512415,5.526329049
Meizu 2,Android,15.37,yes,no,9.5,8.0,32.0,2.0,4000.0,184.0,2019,190,4.290185431,5.195176608
Meizu 3,Android,15.29,yes,no,9.5,20.0,128.0,6.0,3600.0,166.0,2019,459,4.721084811,5.830679408
Meizu 4,Android,15.29,yes,no,9.5,16.0,64.0,6.0,4000.0,165.0,2019,517,4.842295535,5.388660686
Meizu 5,Android,15.29,yes,no,9.5,20.0,128.0,6.0,3600.0,165.0,2019,332,4.959412173,6.040659391
Micromax 0,Android,10.16,no,no,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,3.043569603,3.926714554
Micromax 1,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,2.386926241,3.664842876
Micromax 2,Android,10.03,no,no,2.0,0.3,0.2,0.25,2000.0,85.0,2013,680,2.856470206,4.244630641
Micromax 3,Android,10.16,no,no,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,3.108614431,4.094844437
Micromax 4,Android,7.75,no,no,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,2.989714201,3.884240624
Motorola 0,Android,15.37,yes,no,9.5,16.0,128.0,6.0,5000.0,210.0,2020,242,4.829672813,5.704848573
Motorola 1,Android,15.42,yes,yes,9.5,25.0,256.0,12.0,5000.0,203.0,2020,220,5.186882886,7.090784918
Nokia 0,Android,16.56,yes,no,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,4.186011751,5.004885462
Nokia 1,Android,13.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,3.616308761,4.100160948
Nokia 2,Android,13.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,4.055430469,4.591983624
Nokia 3,Others,5.18,no,no,0.3,0.0,0.1,0.03,1020.0,90.5,2020,272,2.910174385,3.399863159
Nokia 4,Others,5.18,no,no,0.3,0.0,0.06,4.0,1020.0,91.3,2020,288,2.729159164,2.911263117
Nokia 5,Android,17.3,yes,yes,0.3,24.0,64.0,6.0,4500.0,220.0,2020,284,5.314043067,6.216845593
Nokia 6,Others,5.18,no,no,0.3,0.0,0.06,0.02,1200.0,88.2,2020,266,3.370738174,3.699077279
Nokia 7,Others,5.18,yes,no,0.3,0.0,54.6,0.02,1200.0,86.5,2019,234,2.721295428,3.688379329
OnePlus 0,Android,16.64,yes,yes,9.5,16.0,128.0,8.0,4300.0,180.0,2020,110,5.620944196,6.609308811
OnePlus 1,Android,16.64,yes,yes,9.5,16.0,128.0,8.0,4300.0,180.0,2020,208,5.288166015,6.474106722
OnePlus 2,Android,16.94,yes,yes,9.5,16.0,256.0,12.0,4085.0,206.0,2019,458,5.713402718,6.686160528
OnePlus 3,Android,16.94,yes,yes,9.5,16.0,128.0,6.0,4000.0,206.0,2019,294,5.670983763,6.686647155
Oppo 0,Android,16.64,yes,yes,9.5,32.0,128.0,8.0,4000.0,172.0,2020,187,5.170881643,6.153455837
Oppo 1,Android,16.33,yes,yes,9.5,32.0,128.0,8.0,4000.0,183.0,2020,271,5.009634794,5.910254492
Oppo 2,Android,16.69,yes,yes,9.5,32.0,128.0,6.0,4000.0,184.0,2020,100,5.033895988,5.672842052
Oppo 3,Android,16.64,yes,yes,9.5,16.0,128.0,8.0,4000.0,186.0,2020,186,5.116615618,6.253482598
Oppo 4,Android,15.29,yes,no,9.5,8.0,64.0,3.0,4230.0,168.0,2020,273,4.578312732,4.782479201
Oppo 5,Android,15.34,yes,yes,9.5,32.0,128.0,8.0,4025.0,180.0,2020,146,5.412315471,5.98838481
Oppo 6,Android,15.34,yes,yes,8.0,32.0,128.0,8.0,4025.0,181.0,2019,397,4.868380247,6.088023946
Oppo 7,Android,15.37,yes,no,8.0,8.0,128.0,4.0,4230.0,180.0,2019,411,4.57037168,5.01588814
Oppo 8,Android,15.34,yes,no,8.0,25.0,128.0,6.0,3600.0,169.5,2019,276,4.936199063,5.632572862
Oppo 9,Android,15.34,yes,no,8.0,32.0,128.0,4.0,4035.0,186.0,2019,205,4.94178527,5.800667172
Oppo 10,Android,16.59,yes,no,8.0,16.0,128.0,6.0,4020.0,190.0,2019,321,4.656718448,5.556287375
Oppo 11,Android,15.39,yes,yes,8.0,16.0,256.0,8.0,4065.0,215.0,2019,392,5.295613715,6.780830585
Oppo 12,Android,15.27,yes,no,8.0,5.0,32.0,2.0,4000.0,170.0,2019,296,4.322011202,4.605670061
Oppo 13,Android,15.29,yes,no,13.0,8.0,32.0,3.0,4230.0,168.0,2018,664,4.457713717,5.437252881
Oppo 14,Android,10.29,yes,no,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,4.02463715,5.009968405
Others 1,Android,16.43,yes,yes,8.0,20.0,128.0,6.0,4000.0,171.0,2019,317,5.570212986,6.803360963
Realme 0,Android,15.37,yes,no,9.5,16.0,64.0,4.0,4300.0,191.0,2020,289,4.702659807,5.302060353
Realme 1,Android,15.37,yes,no,9.5,16.0,128.0,4.0,5000.0,199.0,2020,338,4.941570991,5.0141624
Realme 2,Android,15.37,yes,no,9.5,5.0,32.0,3.0,5000.0,195.0,2020,111,4.498364182,4.606569207
Realme 3,Android,15.27,yes,no,9.5,5.0,32.0,3.0,4000.0,166.0,2020,167,2.896464272,3.690877457
Realme 4,Android,15.27,yes,no,9.5,5.0,32.0,2.0,4000.0,166.0,2019,399,4.288677032,4.611351045
Samsung 0,Android,20.32,yes,no,5.0,2.0,16.0,1.5,4200.0,313.0,2015,909,4.32611744,5.348202169
Others 2,Android,15.34,yes,no,2.0,8.0,256.0,8.0,3130.0,141.0,2020,135,4.915665057,6.508292123
Others 3,Android,12.93,yes,no,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,4.180522258,5.34563025
Others 4,Android,16.59,yes,yes,2.0,16.0,128.0,6.0,4500.0,210.0,2020,234,5.020849617,5.985371019
Others 5,Android,16.59,yes,no,8.0,24.0,128.0,6.0,3820.0,192.0,2019,414,5.036303041,5.802239214
Others 6,Android,17.78,yes,no,2.0,16.0,64.0,4.0,6000.0,220.0,2020,135,4.378896742,4.80557721
Others 7,Android,15.39,yes,no,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,4.084294226,4.791151704
Others 8,Android,15.39,yes,no,2.0,16.0,128.0,6.0,4000.0,203.0,2020,125,4.919469846,5.393172898
Others 9,Android,12.83,yes,no,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,3.629394807,4.246493239
Others 10,Android,12.7,yes,no,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,3.974809994,4.699388861
Others 11,Android,12.7,yes,no,13.0,5.0,16.0,2.0,4000.0,234.0,2020,173,4.29374172,4.382276603
Others 12,Android,15.42,yes,no,12.0,16.0,128.0,8.0,5000.0,159.0,2018,413,5.175471537,5.700042155
Vivo 0,Android,16.36,yes,no,9.5,32.0,128.0,8.0,4500.0,176.0,2020,343,5.052864298,5.766694674
Vivo 1,Android,16.59,yes,no,9.5,16.0,64.0,4.0,5000.0,204.1,2020,246,4.801065863,5.068904202
Vivo 2,Android,16.66,yes,yes,9.5,32.0,128.0,8.0,4315.0,181.5,2020,145,5.560335417,6.446116566
Vivo 3,Android,16.21,yes,no,9.5,16.0,128.0,8.0,4500.0,190.2,2020,300,4.847331743,5.702781974
Vivo 4,Android,16.43,yes,no,9.5,8.0,128.0,4.0,5000.0,197.0,2020,118,4.823260994,5.249652195
Vivo 5,Android,16.69,yes,yes,9.5,16.0,128.0,6.0,4500.0,198.1,2020,312,4.95434709,5.857447322
Vivo 6,Android,17.5,yes,yes,9.5,16.0,256.0,8.0,4500.0,219.5,2020,226,5.466878008,6.447290015
Vivo 7,Android,16.36,yes,no,9.5,32.0,128.0,8.0,4500.0,176.0,2020,199,5.192623462,5.599199434
Vivo 8,Android,16.36,yes,yes,13.0,32.0,128.0,8.0,4350.0,196.5,2019,279,5.288014474,6.04545545
Vivo 9,Android,16.21,yes,no,13.0,16.0,128.0,8.0,4500.0,198.5,2019,212,4.770599875,5.79331844
Vivo 10,Android,16.59,yes,no,13.0,16.0,128.0,8.0,5000.0,193.0,2019,188,5.064302435,5.435249221
Vivo 11,Android,16.21,yes,no,13.0,32.0,128.0,8.0,4500.0,186.7,2019,264,5.104732617,5.801816215
Vivo 12,Android,16.13,yes,no,13.0,8.0,64.0,3.0,5000.0,191.5,2019,230,4.417755682,4.886809035
Vivo 13,Android,16.21,yes,no,13.0,16.0,64.0,6.0,4500.0,198.5,2019,259,4.601664047,5.55971963
Vivo 14,Android,16.13,yes,no,13.0,8.0,64.0,4.0,5000.0,190.0,2019,349,4.59360355,4.941928096
Vivo 15,Android,16.13,yes,no,13.0,16.0,128.0,4.0,5000.0,190.5,2019,500,4.907346705,5.245812813
Vivo 16,Android,17.5,yes,yes,13.0,16.0,256.0,8.0,4500.0,218.5,2019,288,4.94071342,6.594864794
Vivo 17,Android,17.5,yes,no,13.0,16.0,128.0,8.0,4500.0,217.3,2019,391,5.278471738,6.461014949
Vivo 18,Android,16.28,yes,yes,13.0,12.0,128.0,8.0,4500.0,217.0,2019,204,4.911109575,6.215967174
Vivo 19,Android,16.28,yes,no,13.0,12.0,128.0,8.0,4500.0,215.0,2019,293,5.144350003,6.015376367
Vivo 20,Android,15.8,yes,no,8.0,5.0,16.0,2.0,4030.0,163.5,2019,456,3.966132331,4.485598051
Vivo 21,Android,16.21,yes,no,13.0,32.0,128.0,6.0,4500.0,179.0,2019,224,5.206859756,5.635896134
Vivo 22,Android,16.21,yes,no,13.0,12.0,64.0,6.0,4500.0,198.5,2019,451,4.735671994,5.523458921
Vivo 23,Android,16.59,yes,no,13.0,16.0,64.0,4.0,5000.0,204.1,2019,338,4.956108708,5.304746654
Vivo 24,Android,16.23,yes,no,13.0,16.0,128.0,6.0,3700.0,185.0,2019,455,4.755829062,5.736217396
Vivo 25,Android,15.9,yes,no,13.0,16.0,64.0,4.0,3260.0,150.0,2019,431,4.614625345,5.071291288
Vivo 26,Android,16.13,yes,no,13.0,20.0,128.0,4.0,5000.0,190.5,2019,334,4.761831996,5.440511132
Vivo 27,Android,16.59,yes,no,13.0,16.0,128.0,6.0,3940.0,189.5,2019,415,5.116315759,5.561604282
Vivo 28,Android,15.8,yes,no,13.0,5.0,16.0,2.0,4030.0,163.5,2019,266,4.382151627,4.607966273
Vivo 29,Android,10.29,no,no,5.0,2.0,4.0,0.5,1900.0,130.0,2013,931,3.379292546,4.6998438
Others 13,Android,12.93,yes,no,8.0,8.0,32.0,3.0,3400.0,145.0,2019,407,4.421487704,5.199380619
Others 14,Android,14.4,yes,no,13.0,8.0,16.0,2.0,2920.0,160.0,2019,233,4.523526197,5.013098924
Others 15,Android,15.21,yes,no,8.0,5.0,16.0,2.0,4000.0,185.0,2019,423,4.131800899,4.405498991
Others 16,Android,15.32,yes,no,8.0,16.0,128.0,6.0,4000.0,184.0,2019,470,4.857950206,5.52589109
Others 17,Android,15.9,yes,no,8.0,8.0,64.0,3.0,4000.0,178.0,2019,280,4.33781348,5.196616812
Xiaomi 0,Android,16.69,yes,yes,9.5,20.0,128.0,8.0,4520.0,208.0,2020,318,4.852498904,5.664244378
Xiaomi 1,Android,16.69,yes,yes,9.5,16.0,64.0,6.0,4520.0,205.0,2020,301,4.977492076,5.301312876
Xiaomi 2,Android,16.94,yes,yes,9.5,16.0,128.0,6.0,4800.0,208.0,2020,319,5.120923648,5.523139508
Xiaomi 3,Android,16.94,yes,yes,9.5,16.0,128.0,6.0,4500.0,208.0,2020,184,5.026246142,5.563792173
Xiaomi 4,Android,16.94,yes,no,9.5,32.0,64.0,6.0,5020.0,209.0,2020,256,4.966753066,5.198718001
Xiaomi 5,Android,15.8,yes,no,9.5,8.0,32.0,2.0,5000.0,188.0,2020,265,4.344065128,4.49535532
Xiaomi 6,Android,15.8,yes,no,9.5,8.0,32.0,2.0,5000.0,188.0,2020,321,3.421000009,4.39222446
Xiaomi 7,Android,16.94,yes,no,9.5,16.0,64.0,6.0,4500.0,208.0,2020,169,4.967310169,5.295513439
Xiaomi 8,Android,20.12,yes,yes,12.0,20.0,512.0,12.0,4050.0,241.0,2019,478,6.619433002,7.823341763
Xiaomi 9,Android,16.23,yes,no,12.0,20.0,128.0,8.0,4000.0,196.0,2019,382,5.360587692,6.211302641
Xiaomi 10,Android,16.23,yes,no,12.0,16.0,128.0,8.0,4000.0,191.0,2019,374,5.192289962,6.107267847
Xiaomi 11,Android,15.27,yes,no,12.0,32.0,64.0,4.0,4030.0,173.8,2019,396,4.792396362,5.129188404
Xiaomi 12,Android,16.23,yes,no,12.0,32.0,64.0,6.0,4030.0,179.0,2019,406,4.886280713,5.56819182
Xiaomi 13,Android,15.32,yes,no,12.0,13.0,32.0,3.0,4000.0,186.0,2019,338,4.687395126,4.939282497
ZTE 0,Android,16.89,yes,yes,9.5,12.0,256.0,8.0,5100.0,215.0,2020,235,5.390850968,6.394693824
ZTE 1,Android,16.89,yes,yes,9.5,12.0,128.0,6.0,5100.0,210.0,2020,278,4.652053772,5.740146547
ZTE 2,Android,15.24,yes,no,14.5,8.0,32.0,3.0,4000.0,160.0,2019,386,4.272211769,4.493232533
ZTE 3,Android,15.47,yes,no,16.0,5.0,32.0,3.0,3200.0,165.0,2019,325,4.408059812,4.485936098
ZTE 4,Android,15.32,yes,no,14.5,16.0,64.0,3.0,3200.0,165.0,2019,347,4.498697941,5.080658745
ZTE 5,Android,16.48,yes,no,14.5,8.0,128.0,4.0,5000.0,190.0,2019,343,4.57316339,4.872292344
ZTE 6,Android,16.89,yes,no,48.0,16.0,128.0,8.0,5000.0,215.0,2019,336,5.668051665,6.708779812
ZTE 7,Android,16.31,yes,no,14.5,8.0,128.0,6.0,4000.0,186.0,2019,330,5.243913978,6.312478634
ZTE 8,Android,13.84,yes,no,13.0,8.0,16.0,2.0,2600.0,157.0,2019,474,4.297421451,4.383650316
ZTE 9,Android,12.7,yes,no,8.0,5.0,16.0,1.0,2000.0,144.0,2019,349,3.803992261,4.120986493
ZTE 10,Android,12.7,no,no,8.0,5.0,16.0,1.0,2000.0,144.0,2019,385,3.931433399,4.102643365
ZTE 11,Android,16.89,yes,no,48.0,16.0,64.0,6.0,5000.0,215.0,2019,506,5.263725922,6.217723241
ZTE 12,Android,16.43,yes,no,14.5,20.0,128.0,6.0,4000.0,175.0,2019,333,5.029718709,6.15296671
ZTE 13,Android,13.84,yes,no,13.0,8.0,16.0,2.0,3200.0,135.0,2018,595,4.450152464,5.002468705
ZTE 14,Android,15.27,yes,no,16.0,5.0,32.0,2.0,3200.0,146.0,2019,420,4.339249605,4.412192049
Honor 21,Android,14.5,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,138,4.466367783,4.695467824
Honor 22,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,268,5.051905188,5.520660598
Honor 23,Android,16.69,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,195,5.018008048,5.884157694
Honor 24,Android,25.5,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,272,4.903346996,5.634075062
Honor 25,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,346,4.477791257,4.943355241
Honor 26,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,362,4.466597536,5.076423035
Honor 27,Android,13.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,355,3.961574784,4.507116246
Honor 28,Android,15.77,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,202,4.776093698,5.202852175
